"PARAMETER_ID","NAME","LABEL_AR","LABEL_EN","TYPE","COMPENENT","SELECT_STAT","SORT","REPORT_ID","REF_PARAMETER_ID","IS_REQUIRED"
83,orgID,نوع الوحدة,Org ID,N,List,"SELECT oc.ORG_ID ,oc.ORG_NAME FROM ORG_CHART oc ",1,46,,N
84,employeeNumber,كود الموظف,Employee Number,N,List,"SELECT e.EMPLOYEE_NUMBER value ,e.EMPLOYEE_NUMBER FROM EMPLOYEES e ",2,46,,N
85,fromDate,من,From,D,Date,,3,46,,N
86,toDate,الى,To,D,Date,,4,46,,N
61,DateFrom,الشهر,Month,D,Date,,1,44,,N
81,from,من,From,D,Date,,1,45,,N
82,to,من,To,D,Date,,2,45,,N
8,CategoryID,نوع الفئة,CategoryID,N,List,"select cat.CATEGORY_ID,cat.CATEGORY_NAME

from CATEGORIES cat

where cat.is_enabled = 'Y'",1,3,,N
9,ISAgent,خدمة العملاء,ISAgent,C,List,"select 'Y' isagent , 'نعم' agent 

from dual 

union 

select 'N'isagent , 'لا' agent 

from dual ",3,3,,N
10,EmployeeTypeID,نوع الموظف,Employee Type Name,N,List,"select ET.EMPLOYEES_TYPE_ID , ET.EMPLOYEES_TYPE_NAME

from employees_types et

where ET.IS_ENABLED='Y'",2,4,,N
11,year,سنة,year,N,Text,,1,4,,Y
7,Org_TypeID,نوع الوحدة,Org Type Name,N,List,"select ORG_TYPE_ID,ORG_TYPE_NAME

from org_chart_types",2,3,,Y
24,orgTypeId,نوع الوحدة,Org Type ID,N,List,"select ORG_TYPE_ID,ORG_TYPE_NAME

from ORG_CHART_TYPES",2,5,,N
22,categoryId,الفئة,Category ID,N,List,"select cat.CATEGORY_ID,cat.CATEGORY_NAME

from CATEGORIES cat

where cat.is_enabled = 'Y'",1,5,,N
2,DateFrom,من,From,D,Date,,2,1,,N
3,DateTo,الى,To,D,Date,,3,1,,N
4,OrgType_ID,نوع الوحدة,Org Type Name,N,List,"select ORG_TYPE_ID,ORG_TYPE_NAME

from org_chart_types

",1,2,,N
5,CategoryID,نوع الفئة,CategoryID,N,List,"select cat.CATEGORY_ID,cat.CATEGORY_NAME

from CATEGORIES cat",2,2,,N
6,IS_Agent,خدمة العملاء,IS_Agent,C,List,"select 'Y' isagent , 'نعم' agent 

from dual 

union 

select 'N'isagent , 'لا' agent 

from dual ",3,2,,N
1,orgTypeId,نوع الوحدة,orgTypeId,N,List,"select ORG_TYPE_ID,ORG_TYPE_NAME

from ORG_CHART_TYPES",1,1,,N
41,TYPE,نوع الوحدة,Org Type Id,N,List,"select ORG_TYPE_ID,ORG_TYPE_NAME

from ORG_CHART_TYPES",1,41,,Y
42,from1,من,From,D,Date,,2,41,,Y
43,to1,الى,To,D,Date,,3,41,,Y
44,from2,من,From 2,D,Date,,4,41,,Y
45,to2,الى,To 2,D,Date,,5,41,,Y
46,from,من,From,D,Date,,1,42,,N
47,to,من,To,D,Date,,2,42,,N
48,DateFrom,شهر,Month,D,Date,,1,43,,N
25,DateFrom,من,From,D,Date,,2,21,,N
26,DateTo,الى,To,D,Date,,3,21,,N
